name,tipping,category,speed,sectors,signal_1,signal_2,signal_3,signal_4,horizon,detectability,detectability_note,asset_classes,commodities,trade_directions,commodity_signal
Thermohaline circulation (AMOC),true,planetary|climate,abrupt,Insurance|Agriculture|Real estate|Energy,European crop yield divergence from baseline,Extreme weather insurance loss ratios,North Atlantic shipping route disruption,UK/NW Europe heating and cooling demand shifts,10–30 yr (non-linear),Moderate,satellite altimetry + Argo floats,"Sovereign bonds (UK, NL, IE), RE in coastal NW Europe, agri futures","European wheat & barley|North Sea cod|Heating energy (NW Europe)|Sovereign bonds (UK, NL, Scandinavia)|Reinsurance",Long: grain futures (lower EU yields)|Long: energy heating demand NW Europe|Short: European coastal real estate debt|Long: reinsurance & CAT bonds,"Would cool NW Europe by 3–8°C, devastate UK/Irish agriculture, shift Gulf Stream fisheries. Single largest systemic tail risk to European commodity markets."
Arctic sea ice loss,true,climate|marine,fast,Shipping|Insurance|Oil & gas|Tourism,Northern Sea Route transit volumes,Arctic drilling rights valuations,Albedo-feedback acceleration metrics,Polar bear / walrus habitat proxies,Ongoing — ice-free summers possible by 2030s,High,NSIDC daily extent data,"Arctic shipping equities, O&G Arctic licences, re-insurance books",Shipping freight rates|LNG/oil (Arctic routes)|Salmon & pollock|Insurance derivatives|Cold-weather tourism,"Long: Arctic shipping ETFs, LNG spot|Short: traditional polar tourism operators|Long: Arctic fishery quotas (new grounds)",New polar shipping lanes cut Asia–Europe transit ~30%. Opens hydrocarbon drilling. Pollock grounds shift north — watch Norwegian & Alaskan quota allocations.
Greenland ice sheet collapse,true,climate|planetary,slow,Real estate|Infrastructure|Insurance|Sovereign,Mass balance anomaly rate,Sea level rise acceleration at tide gauges,Coastal flood insurance penetration gaps,Port infrastructure haircuts,Centuries but tipping threshold proximity matters now,High,GRACE-FO satellite mass loss,"Coastal RE globally, municipal bonds in low-lying cities, P&C re-insurance",Coastal real estate debt|Sovereign bonds (low-lying nations)|CAT bonds & flood reinsurance|Global crop insurance|Port infrastructure bonds,"Short: coastal municipal bonds (Miami, Amsterdam, Shanghai)|Long: flood barrier construction|Long: elevated-land real estate|Short: crop insurance near sea-level deltas","3–7m sea-level rise over centuries, but non-linear. Sub-century commitments already locked in at current warming. Reinsurers pricing in 50yr horizon flood risk now."
West Antarctic ice sheet collapse,true,climate|planetary,slow,Real estate|Infrastructure|Sovereign|Insurance,Thwaites glacier grounding line retreat rate,Sea-level rise commitments pricing,Coastal asset depreciation curves,Climate litigation against carbon majors,Multi-century but irreversible if triggered,Moderate,"IceSat-2, radar interferometry","Low-elevation coastal RE, sovereign debt (small island states), infrastructure bonds",Same as Greenland but additive|Infrastructure bonds|Agricultural delta land|Port logistics pricing,"Short: deltaic agricultural land (Mekong, Ganges, Nile)|Long: Dutch/Israeli water engineering firms|Long: inland freight infrastructure",Thwaites Glacier alone represents ~0.5m SLR. WAIS collapse and Greenland are partially correlated — combined exposure for coastal infrastructure is the key risk.
Coral transitions,false,marine,fast,Tourism|Fisheries|Insurance|Pharma,Bleaching event frequency/severity (NOAA Coral Reef Watch),Reef-dependent tourism revenue loss,Marine-based pharmaceutical pipeline exposure,Coastal protection value erosion (storm buffer loss),Ongoing — mass bleaching events accelerating,High,satellite SST + in-situ bleaching surveys,"Tourism equities (Caribbean, GBR), coastal property in reef-protected areas, fisheries bonds","Reef fish (grouper, snapper)|Dive/marine tourism|Coastal reinsurance|Aquaculture feed (fishmeal)",Short: reef-dependent tourism operators|Long: aquaculture (land-based fish farms)|Long: CAT bonds covering coral-dependent coasts,~$375B/yr reef tourism at risk. Caribbean and Indo-Pacific most exposed. Fisheries dependent on reef nursery habitat collapse faster than open-ocean stocks.
Kelp transitions,false,marine,medium,Fisheries|Aquaculture|Carbon markets,Kelp canopy extent from satellite (Landsat/Sentinel),Sea urchin barrens expansion,Blue carbon sequestration rate change,Abalone and lobster catch statistics,5–20 yr depending on region,Moderate-high,satellite + aerial surveys,"Aquaculture equities, blue carbon credits, fisheries quota values",Kelp as feed additive (methane reduction)|Abalone & urchin fisheries|Alginate industry|Seaweed biofuel|Rock lobster (kelp-dependent),Long: kelp aquaculture operators (temp range expansion in some zones)|Short: urchin processing (barrens expansion in warming zones)|Long: seaweed-based feed additive companies (ag methane regulation),"Asparagopsis (kelp-family) reduces cattle methane by 80%. As methane regulation tightens, kelp-based feed additives become a significant agricultural commodity. Watch Australian urchin barrens."
Marine food webs,false,marine|planetary,medium,Fisheries|Food & beverage|Insurance|Commodity,"Forage fish biomass indices (anchovy, herring, capelin)",Seabird and marine mammal population trends,Omega-3 / fishmeal commodity price volatility,Ocean deoxygenation depth profiles,Ongoing — accelerating with warming and acidification,Moderate,requires multi-species monitoring,"Fishmeal/fish oil futures, integrated seafood companies, aquaculture feed producers","Tuna, swordfish (apex predators)|Fishmeal|Krill-based aquaculture|Omega-3 supply chain",Long: algae-based omega-3 (bypasses fish food web)|Short: tuna-dependent canneries|Long: aquaculture vertically integrated on microalgae,Jellyfish blooms (food web disruption indicator) are intensifying. Trophic cascade collapses in Black Sea (1980s) and NW Pacific show how fast this can restructure commercial fisheries.
Fisheries collapse,false,marine,abrupt,Food & beverage|Fisheries|Sovereign|Employment,Stock assessment biomass vs MSY,Quota reduction triggers,CPUE (catch per unit effort) trends,Community food security indices in fishing-dependent economies,Stock-dependent; some already collapsed,Moderate,annual stock assessments — but lags common,"Seafood equities, fisheries quota assets, sovereign risk in fishing-dependent states",Fishmeal & fish oil|Omega-3 supplements|Aquaculture feed|Soy (substitute protein in feed)|Wild-catch seafood futures,"Long: soy meal, insect protein companies|Long: aquaculture equipment & feed tech|Short: wild-catch dependent processors (tuna, anchovy)|Long: fishmeal spot prices (scarcity premium)",Fishmeal is the hidden driver — collapse of anchovy/capelin raises costs across salmon & shrimp aquaculture. Watch Peru anchovy quota as a leading indicator.
Marine eutrophication,false,marine,medium,Agriculture|Water|Tourism|Real estate,Harmful algal bloom (HAB) frequency and extent,Beach closure days,Dissolved oxygen profiles in coastal zones,Fertiliser run-off / nitrogen load from catchments,5–15 yr regional progression,Moderate-high,satellite chlorophyll + in-situ O2,"Coastal tourism RE, water utility bonds, fertiliser producers, aquaculture",Coastal fisheries|Fertiliser regulation|Shrimp & oyster aquaculture|Nitrogen trading schemes|Tourism (coastal amenity),Short: inshore fishing licences in fertiliser-runoff zones|Long: offshore/deep-water fisheries (less hypoxia exposure)|Long: low-input 'regenerative' agriculture input suppliers,Gulf of Mexico dead zone driven by Mississippi nitrate load. Shrimp season length is a direct proxy. Track USDA nitrogen application data as a leading indicator for coastal fishery pressure.
Hypoxia,false,marine,medium,Fisheries|Agriculture|Water|Shipping,Dead zone area (satellite + ship surveys),Sediment oxygen demand metrics,Watershed N/P loading rates,Benthic fauna community collapse proxies,"Ongoing — Gulf of Mexico, Baltic, Black Sea already persistent",Moderate,ship surveys + moored sensors,"Fisheries in affected regions, waterfront RE, agri-chemical sector",Bottom-trawl fisheries|Fertiliser input costs|Shrimp|Blue crab|Dead-zone affected grain exports,Long: pelagic (surface) fisheries vs demersal|Short: fertiliser-dependent coastal shrimp operations|Long: water quality monitoring tech,200+ coastal dead zones globally. Chesapeake blue crab and Gulf shrimp are directly affected. Iowa/Illinois corn fertiliser applications are a 6-month leading indicator for Gulf hypoxia extent.
