name,tipping,category,speed,sectors,signal_1,signal_2,signal_3,signal_4,horizon,detectability,detectability_note,asset_classes
Thermohaline circulation (AMOC),true,planetary|climate,abrupt,Insurance|Agriculture|Real estate|Energy,European crop yield divergence from baseline,Extreme weather insurance loss ratios,North Atlantic shipping route disruption,UK/NW Europe heating and cooling demand shifts,10–30 yr (non-linear),Moderate,satellite altimetry + Argo floats,"Sovereign bonds (UK, NL, IE), RE in coastal NW Europe, agri futures"
Arctic sea ice loss,true,climate|marine,fast,Shipping|Insurance|Oil & gas|Tourism,Northern Sea Route transit volumes,Arctic drilling rights valuations,Albedo-feedback acceleration metrics,Polar bear / walrus habitat proxies,Ongoing — ice-free summers possible by 2030s,High,NSIDC daily extent data,"Arctic shipping equities, O&G Arctic licences, re-insurance books"
Greenland ice sheet collapse,true,climate|planetary,slow,Real estate|Infrastructure|Insurance|Sovereign,Mass balance anomaly rate,Sea level rise acceleration at tide gauges,Coastal flood insurance penetration gaps,Port infrastructure haircuts,Centuries but tipping threshold proximity matters now,High,GRACE-FO satellite mass loss,"Coastal RE globally, municipal bonds in low-lying cities, P&C re-insurance"
West Antarctic ice sheet collapse,true,climate|planetary,slow,Real estate|Infrastructure|Sovereign|Insurance,Thwaites glacier grounding line retreat rate,Sea-level rise commitments pricing,Coastal asset depreciation curves,Climate litigation against carbon majors,Multi-century but irreversible if triggered,Moderate,"IceSat-2, radar interferometry","Low-elevation coastal RE, sovereign debt (small island states), infrastructure bonds"
Coral transitions,false,marine,fast,Tourism|Fisheries|Insurance|Pharma,"Bleaching event frequency/severity (NOAA Coral Reef Watch)",Reef-dependent tourism revenue loss,Marine-based pharmaceutical pipeline exposure,Coastal protection value erosion (storm buffer loss),Ongoing — mass bleaching events accelerating,High,satellite SST + in-situ bleaching surveys,"Tourism equities (Caribbean, GBR), coastal property in reef-protected areas, fisheries bonds"
Kelp transitions,false,marine,medium,Fisheries|Aquaculture|Carbon markets,"Kelp canopy extent from satellite (Landsat/Sentinel)",Sea urchin barrens expansion,Blue carbon sequestration rate change,Abalone and lobster catch statistics,5–20 yr depending on region,Moderate-high,satellite + aerial surveys,"Aquaculture equities, blue carbon credits, fisheries quota values"
Marine food webs,false,marine|planetary,medium,Fisheries|Food & beverage|Insurance|Commodity,"Forage fish biomass indices (anchovy, herring, capelin)",Seabird and marine mammal population trends,Omega-3 / fishmeal commodity price volatility,Ocean deoxygenation depth profiles,Ongoing — accelerating with warming and acidification,Moderate,requires multi-species monitoring,"Fishmeal/fish oil futures, integrated seafood companies, aquaculture feed producers"
Fisheries collapse,false,marine,abrupt,Food & beverage|Fisheries|Sovereign|Employment,Stock assessment biomass vs MSY,Quota reduction triggers,CPUE (catch per unit effort) trends,Community food security indices in fishing-dependent economies,Stock-dependent; some already collapsed,Moderate,annual stock assessments — but lags common,"Seafood equities, fisheries quota assets, sovereign risk in fishing-dependent states"
Marine eutrophication,false,marine,medium,Agriculture|Water|Tourism|Real estate,"Harmful algal bloom (HAB) frequency and extent",Beach closure days,Dissolved oxygen profiles in coastal zones,Fertiliser run-off / nitrogen load from catchments,5–15 yr regional progression,Moderate-high,satellite chlorophyll + in-situ O2,"Coastal tourism RE, water utility bonds, fertiliser producers, aquaculture"
Hypoxia,false,marine,medium,Fisheries|Agriculture|Water|Shipping,"Dead zone area (satellite + ship surveys)",Sediment oxygen demand metrics,Watershed N/P loading rates,Benthic fauna community collapse proxies,"Ongoing — Gulf of Mexico, Baltic, Black Sea already persistent",Moderate,ship surveys + moored sensors,"Fisheries in affected regions, waterfront RE, agri-chemical sector"
